paperID,MA_ID,title,guidelines,guidelines_quote,guidelines_name,registration,registration_quote,effect_size_used,effect_size_eqn_quote,meta_analytic_model,meta_analytic_model_quote,sampling_variance,sampling_variance_quote,software,software_quote,software_used,raw_data_shared,processed_data_shared,metadata,code_shared
MRMA_MP_19,MA_011,Intertidal invertebrate harvesting: a meta-analysis of impacts and recovery in an important waterbird prey resource,Yes,"From registeration : Collaboration for Environmental Evidence (CEE): Guidelines for Systematic
Review and Evidence Synthesis in Environmental Management. ; 2013. Version
4.2. Environmental Evidence: [http://environmentalevidence.org/
Documents/Guidelines/Guidelines4.2.pdf]",CEE,Yes,Data were extracted from publications that were identified by following a systematic review protocol (Hughes et al. 2014). [link: https://environmentalevidencejournal.biomedcentral.com/articles/10.1186/2047-2382-3-23],SMD,"The size of the effect for each response was calcu- lated as the standardised mean difference in fished conditions when compared to control conditions, or Hedges’ d, using Equ. 1 where X1 and X2 are the sample means of the 2 groups (e.g. fished and unfished areas) and Vwithin is a measure of the within-study variance: Equ. 2 where n1 and n2 are the group sample sizes and S1 and S2 are the standard deviations of the 2 groups......The size of the effect for each response was calcu- lated as the standardised mean difference in fished conditions when compared to control conditions, or Hedges’ d, using Equ. 1 where X1 and X2 are the sample means of the 2 groups (e.g. fished and unfished areas) and Vwithin is a measure of the within-study variance: Equ. 2 where n1 and n2 are the group sample sizes and S1 and S2 are the standard deviations of the 2 groups.",Random effects model,"An overall summary effect was then calculated as the mean effect size across all studies using a ran- dom-effects model, such that weight is assigned to each study as the inverse of its variance (i.e. ‘study’ is included as a random effect and more weight is assigned to studies with less variance) (Borenstein et al. 2009). When results of this model indicated signif- icant heterogeneity between study-effect sizes, the effect of additional moderating variables added to the model (such as habitat, gear type, region etc.) was investigated.",Yes,"The size of the effect for each response was calcu- lated as the standardised mean difference in fished conditions when compared to control conditions, or Hedges’ d, using Equ. 1 where X1 and X2 are the sample means of the 2 groups (e.g. fished and unfished areas) and Vwithin is a measure of the within-study variance: Equ. 2 where n1 and n2 are the group sample sizes and S1 and S2 are the standard deviations of the 2 groups.",Yes,All analyses were carried out within R Studio (Ver- sion 0.98.1062) and the R metafor package (Viecht- bauer 2010).,R,No,No,NA,No
MRMA_MP_20,MA_012,Recent introductions reveal differential susceptibility to parasitism across an evolutionary mosaic,No,NA,NA,No,NA,prevelance(proportion),"we calculated the mean prevalence in each region and its 95% confidence interval using the Freeman–Tukey double arcsine transformation (Freeman & Tukey, 1950), back‐transformed to proportions per Miller (1978) using an unweighted mean.....we calculated the mean prevalence in each region and its 95% confidence interval using the Freeman–Tukey double arcsine transformation (Freeman & Tukey, 1950), back‐transformed to proportions per Miller (1978) using an unweighted mean",Unweighted mean (lme4 for hypothesis testing/some kind of meta-regression like approach),"To compare both presence and prevalence of the parasite between its native and introduced ranges, we used linear mixed models in the R package (lme4) […] We tested parasite prevalence against regional parasite status and status‐host species interaction as fixed effects, with site nested in estuary and reference (e.g., study from which the data derived) as random effects.",No,"double arcsine transformation (Freeman & Tukey, 1950), back‐transformed to proportions per Miller (1978) using an unweighted mean and implemented in the R package",Yes,Modeling tests were carried out separately for R. harrisii and E. de‐ pressus using all individuals sampled in the parasite's native and in‐ troduced ranges with the “lme4” package in R v3.3.2.,R,No,Yes,Yes,No
MRMA_MP_21,MA_013,Potential impact of climate change on parasitism efficiency of egg parasitoids: A meta-analysis of Trichogramma under variable climate conditions,No,NA,NA,No,NA,SMD,"We used the bias-corrected Hedges’ g, one of the most common effect size measures (Hedges, 1981). It is calculated as the difference between the means of the parasitoid-absent and parasitoid-present treatment divided by the within-treatments standard deviation, pooled across treatments and multiplied by a factor that corrects for small sample sizes (Hedges, 1981)......It is calculated as the difference between the means of the parasitoid-absent and parasitoid-present treatment divided by the within-treatments standard deviation, pooled across treatments and multiplied by a factor that corrects for small sample sizes (Hedges, 1981).",mixed-effects meta-analysis [...] meta-regression,"A mixed-effect model was used to calculate the summary effect. The contribution of each case was weighted by the inverse of the case’s variance. The meta-analysis, meta- regression, and spatial autocorrelation were conducted using R (version 3.1.1; R Development Core Team, 2014).",Yes,"If not provided, standard deviations were calculated from other variance measures such as standard errors or confidence intervals",Yes,"The meta-analysis, meta- regression, and spatial autocorrelation were conducted using R (version 3.1.1; R Development Core Team, 2014).",R,No,No,NA,No
MRMA_MP_22,MA_014,"Assessment of grain quality in terms of functional group response to elevated {[}CO2], water, and nitrogen using a meta-analysis: Grain protein, zinc, and iron under future climate",No,NA,NA,No,NA,response ratio,"Therefore, the natural log of the response ratio (r = response to e[CO2]/ response to a[CO2]) was used as a met‐ ric for the analysis. The results were reported as the percentage change under e[CO2] ((r – 1) × 100).[...] Thus, the studies were weighted by replication using a function of sample size given by Equation (2). where na and ne represent the number of replicates of the ambient
and elevated [CO2], respectively (Adams et al., 1997; Van Groenigen et al., 2011; Hedges & Olkin, 1985). To calculate mean effect sizes and 95% confidence intervals, bootstrapping techniques were used......Therefore, the natural log of the response ratio (r = response to e[CO2]/ response to a[CO2]) was used as a met‐ ric for the analysis. The results were reported as the percentage change under e[CO2] ((r – 1) × 100).[...] Thus, the studies were weighted by replication using a function of sample size given by Equation (2).
where na and ne represent the number of replicates of the ambient
and elevated [CO2], respectively (Adams et al., 1997; Van Groenigen et al., 2011; Hedges & Olkin, 1985).",Fixed effects model (non-parametric),"Technically, a mixed‐effects model or a fixed‐effects model is not viable for non‐parametric meta‐analytic methods based on weighting by replication. However, a fixed‐effects model had to be adopted to implement a valid bootstrapping using MetaWin.",Yes,"Furthermore, the variance‐based weighting function might result in excessive weights for some studies while weighting using replication could produce less excessive weights (Van Groenigen, Osenberg, & Hungate, 2011). Thus, the studies were weighted by replication using a function of sample size given by Equation (2).",Yes,"For the bootstrapping using statistical software MetaWin 2.1 (Rosenberg et al., 2000), 4,999 iterations were used. [...] To test for and assess the possible impacts of bias, we
performed a random effects meta‐analysis using the metafor pack‐ age (Viechtbauer, 2010) in R statistical software.",R,No,Yes,Yes,No
MRMA_MP_23,MA_015,The strength of sex-specific selection in the wild,No,NA,NA,No,NA,self-described (index of difference in absolute magnitude of selection),"To fit an LMM, we devised an index (?S)to estimate the difference in the absolute magnitude (or strength) of selection on shared male and female traits as follows.....To fit an LMM, we devised an index (?S)to estimate the difference in the absolute magnitude (or strength) of selection on shared male and female traits as follows Equ. 1  where βm and βf are estimates of directional selection (both selection gradients and differentials) acting on homologous male and female traits, respectively.",Compare weighted and unweighted meta-analysis,we tested for sex bias in the strength of selection acting on homologous traits using nonparametric Wilcoxon signed-rank tests. We supplemented these analyses with linear mixed models (LMM) that accounted for the non-uniformity in variance among selection estimates across our dataset.,Yes,Standard errors for each estimate of  S were calculated using the propagate function in the R package propagate (Spiess 2017).,Yes,All statistical analyses were performed in R (v. 3.3.0) using the base and the nlme package (Pinheiro et al. 2016),R,Yes,Yes,Yes,No
MRMA_MP_24,MA_016,Contrasting ecosystem CO2 fluxes of inland and coastal wetlands: a meta-analysis of eddy covariance data,No,NA,NA,No,NA,CO2 Flux,Annual CO2 flux is either obtained directly from the literature as reported or is calculated by the authors by calculating a mean of CO2 flux. Net ecosystem exchange of CO2 was also calculated by authors through standardised re-evaluation of primary data.....NA,Generalized mixed model,"The generalized linear model (GLM) was used to conduct regression analysis of CO2 fluxes with climatic, vegetation, and hydrological variables: MAT, MAP, LAI, and WTD and to test the significance of the regressions.",No,NA,Yes,"All statistical analyses were performed with SPSS version 16.0 (SPSS Inc., Chicago, USA).",SPSS,No,No,NA,No
MRMA_MP_25,MA_017,Ammonia volatilization from synthetic fertilizers and its mitigation strategies: A global synthesis,No,NA,NA,No,NA,response ratio,"The response ratio (r=xT/xC) is the ratio of treatment group to the control group and it can be used to estimate the effect as a proportionate change due to experimental manipulation (Lam et al., 2012; Rosenberg et al., 2000). For NH3 volatilization, we used the natural log transformed response ratio as a metric for analyses (Hedges et al., 1999): Equ. Where xT is the mean of the treatment group, and xC the mean of the control group. Results are reported as the percentage change of percentage changes mean the treatment decreased NH3 volatili- NH3 volatilization under treatment effects ((r ? 1) ? 100). Negative zation when compared to control whereas positive changes indicate an increase in NH3 volatilization due to treatment. Effect sizes are generally weighted by the inverse of pooled variance (Ainsworth and Long, 2005), replication (Adams et al., 1997; Lam et al., 2013) or unweighted (Wang, 2007), depending on availability of weighting parameters. Not all the literatures reviewed in our database had included variances. Moreover, extreme weights might be obtained by variance-based weighting function (van
Groenigen et al., 2011). Therefore, in our analysis, effect sizes were weighted by a function of sample size by: Equation.  Where nC and nT are the number of replicates of the control and treatment respectively (van Groenigen et al., 2013)......The response ratio (r=xT/xC) is the ratio of treatment group to the control group and it can be used to estimate the effect as a proportionate change due to experimental manipulation (Lam et al., 2012; Rosenberg et al., 2000). For NH3 volatilization, we used the natural log transformed response ratio as a metric for analyses (Hedges et al., 1999): Equ. Where xT is the mean of the treatment group, and xC the mean of the control group. Results are reported as the percentage change of percentage changes mean the treatment decreased NH3 volatili- NH3 volatilization under treatment effects ((r ? 1) ? 100). Negative zation when compared to control whereas positive changes indicate an increase in NH3 volatilization due to treatment. Effect sizes are generally weighted by the inverse of pooled variance (Ainsworth and Long, 2005), replication (Adams et al., 1997; Lam et al., 2013) or unweighted (Wang, 2007), depending on availability of weighting parameters. Not all the literatures reviewed in our database had included variances. Moreover, extreme weights might be obtained by variance-based weighting function (van
Groenigen et al., 2011). Therefore, in our analysis, effect sizes were weighted by a function of sample size by: Equation.  Where nC and nT are the number of replicates of the control and treatment respectively (van Groenigen et al., 2013).",Fixed effects model (non-parametric),"A fixed-effects model or a mixed-effects model is technically not applicable for non-parametric meta- analytic procedures based on weighting by replication. However, to perform a correct bootstrapping using MetaWin, a fixed-effects model had to be selected.",Yes,"Therefore, in our analysis, effect sizes were weighted by a function of sample size by Weight = (nC*nT)/(nC + nT) Where nC and nT are the number of replicates of the control and treatment respectively (van Groenigen et al., 2013).",Yes,"The meta-analysis was conducted using MetaWin version 2.1 (Rosenberg et al., 2000).",Metawin,Yes,Yes,No,No
MRMA_MP_27,MA_018,"Trade-off between vegetation type, soil erosion control and surface water in global semi-arid regions A meta-analysis",No,NA,NA,No,NA,SMD,"The effect sizes were then calculated as the standard mean difference (SMD): Equ. 1-Equ.3 where n1, n2, S1, S2, X1 and X2 denote the number of replicates, stan- dard deviations and means for the vegetated and control plots, respec- tively. V is the variance of the independent study......The effect sizes were then calculated as the standard mean difference (SMD): Equ. 1-Equ.3 where n1, n2, S1, S2, X1 and X2 denote the number of replicates, stan- dard deviations and means for the vegetated and control plots, respec- tively. V is the variance of the independent study.",Weighted meta-analysis,"The statistical significance was set at a level of p < .05 and the magnitude of difference for each dependent variable and between the subgroups was calculated using SMD with 95% CI (DerSimonian & Laird, 1986). ""It is very hard to judge what the model is, they use MetRev which could do a fixed effects as well as random effects model but I cannot judge what they did. But it is definitely some kind of weighted meta-analysis""",Yes,"The effect sizes were then calculated as the standard mean difference (SMD): Equ. 1-Equ.3 where n1, n2, S1, S2, X1 and X2 denote the number of replicates, stan- dard deviations and means for the vegetated and control plots, respec- tively. V is the variance of the independent study.",Yes,"To include all the studies that assessed the effects of different veg- etation types on runoff and sediment yield but used various meth- ods to measure these variables, all the meta-analytical calculations were performed in the Review Manager program (RevMan version 5.2, 2012, Cochrane Collaboration; Chen, Wei, & Chen, 2017).",RevMan,Yes,No,No,No
MRMA_MP_28,MA_019,Effects of three global change drivers on terrestrial C:N:P stoichiometry: a global synthesis,No,NA,NA,No,NA,response ratio,"The weighted mean response ratio (lnRR++) was calculated using Eqn (3). [...] The main and interactive effect sizes were calculated for each case study using Hedges’ d, which is an estimate of the standardized mean differences and not biased by small sample sizes (Gurevitch & Hedges, 2001). A similar approach was used in previous meta-analysis studies (Gurevitch et al., 1992; Zhou et al., 2016). We then calculated the main effects of global change drivers A and B (dA and dB) and their interaction (dI) as shown in Eqns (5)–(7):.....The weighted mean response ratio (lnRR++) was calculated using Eqn (3).[...] The main and interactive effect sizes were calculated for each case study using Hedges’ d, which is an estimate of the standardized mean differences and not biased by small sample sizes (Gurevitch & Hedges, 2001). A similar approach was used in previous meta-analysis studies (Gurevitch et al., 1992; Zhou et al., 2016). We then calculated the main effects of global change drivers A and B (dA and dB) and their interaction (dI) as shown in Eqns (5)–(7) where Xc, XA, XB, and XAB are the means of a specific variable in the control and experimental groups of A, B, and their com- bination (i.e., A + B), respectively; s and J(m) are the pooled standard deviation and correction term for small sample bias, respectively, which were estimated by Eqns (8) and (9), respectively where nc, nA, nB, and nAB are the sample sizes, and sc, sA, sB, and sAB are the standard deviations in the control and experi- mental groups of A, B, and their combination (i.e., A + B), respectively; m is the degree of freedom (m = nc + nA + nB + nAB ? 4). The variance of Hedges’ d of the main or interactive effects was estimated by Eqn (10) where t is treatment of A, B, or A + B. The weighted mean dt (dt++) was calculated according to Eqn (11) where l is the number of groups, k is the number of compar- isons in the ith group, and w is weight, which is also the recip- rocal of the variances (1/Vdt)",Random effects model [...] Meta-regression,"A weighted random-effects model of meta-analysis (Gurevitch & Hedges, 1999) was used to determine the overall effect of global change drivers on C:N:P ratios. [...] To assess the relationship between contentious moderators
(i.e., latitude, longitude, MAT, MAP, treatment magnitude, experimental duration, and soil depth) and C:N:P ratio responses to the effects of both individual and combined drivers, we conducted meta-regression analyses to test such relationships.",Yes,"The variance of Hedges’ d of
the main or interactive effects was estimated by Eqn (10):",Yes,"Regression analyses were car- ried out using SPSS 18.0 (SPSS Inc., Chicago, IL, USA) for Microsoft Windows. [...] Meta-analyses and lnRR++ calculations were conducted with METAWIN 2.1 (Rosenberg et al., 2000).",SPSS,No,Yes,No,No
MRMA_MP_30,MA_020,Global drivers of tree seedling establishment at alpine treelines in a changing climate,No,NA,NA,No,NA,SMD,"For each environmental factor, we calculated the mean size of its effect on seedling survival, germi- nation or growth separately as Hedges’ g:.....For each environmental factor, we calculated the mean size of its effect on seedling survival, germi- nation or growth separately as Hedges’ g:",Random effects model,"We analysed if the mean effect size for each environmental factor and response vari- able was significantly different from zero using random effects mod- els, to account for between- study variability.",Yes,and the variance (v) of Hedges’ g is found as:,Yes,"All analyses were performed in R statistical software (R Core Team 2016) using the Metaphor package (Viechtbauer, 2010) for meta- analysis",R,Yes,No,Yes,No
MRMA_MP_32,MA_021,Differential responses of carbon-degrading enzyme activities to warming: Implications for soil respiration,No,NA,NA,No,NA,response ratio,"The effects of warming on EEAs were evaluated using the natural log of the response ratio (ln?):.....The effects of warming on EEAs were evaluated using the natural log of the response ratio (ln?): Equ. 1 with ?????? and ????? as the arithmetic mean concentrations in the warming and control treatments, respectively. The",Mixed effects meta-regression,"The meta-analytic models were selected by using the same approach as in Chen et al. (2018), Terrer et al. (2016) and van Groenigen et al. (2017). Briefly, we analyzed all potential combinations of the studied factors in a mixed-effects meta-regression model using the “glmulti” package in R (Bangert-Drowns, Hurley, & Wilkinson, 2004, Calcagno & de Mazancourt, 2010).",Yes,The variances (ν) of lnR were calculated as follows:,Yes,"Briefly, we analyzed all potential combinations of the studied factors in a mixed-effects meta-regression model using the “glmulti” package in R (Bangert-Drowns, Hurley, & Wilkinson, 2004, Calcagno & de Mazancourt, 2010).",R,Yes,Yes,No,No
MRMA_MP_33,MA_022,A global meta-analysis of exotic versus native leaf decay in stream ecosystems,No,NA,NA,No,NA,response ratio,"The effect size of the difference between native and exotic leaf decay rates was assessed using the ln-transformed response ratio method after Darling and C^ot?e (2008), a robust approach for answering ecological questions (Elser et al., 2007; Hedges, Gurevitch, & Curtis, 1999).  For each treatment (defined by a unique combina- tion of study date, sub-site and mesh size reported within each study), the decay rate of the exotic species was divided by the decay rate of the native species, and the natural log of this response ratio was calculated for each species combination (after Ferreira et al., 2015). The.....For each treatment (defined by a unique combination
of study date, sub-site and mesh size reported within each
study), the decay rate of the exotic species was divided by the decay
rate of the native species, and the natural log of this response ratio
was calculated for each species combination (after Ferreira et al.,
2015).",Mixed effects model,"Our linear mixed effects modelling process was a combination of steps outlined by Zuur, Ieno, Walker, Saveliev, and Smith (2009), Zuur, Ieno, and Elphick (2010), Symonds and Moussalli (2011) and Grueber, Nakagawa, Laws, and Jamieson (2011).",Yes,"Prior to model fitting, the data was examined for normality, outliers and homogeneity of variance by visually inspecting the data (Zuur et al., 2010) using the “graphics” and “stats” packages included in R (Figure S2).",Yes,"The data set was analysed using R statistical software (R Core Team, 2016). Prior",R,Yes,Yes,Yes,Yes
MRMA_MP_35,MA_023,Ozone will remain a threat for plants independently of nitrogen load,No,NA,NA,No,NA,response ratio,"To estimate the treatment effect, a random effect model was used, as- suming random variation in effect size, which was calculated by the natural log of the response ratio (r = value in elevated O3 treatment/ value in control O3 treatment) for all variables except shoot/root ratio (Hedges, Gurevitch, & Curtis, 1999; Rosenberg et al., 1999). Due to lack of shoot/root ratio data in some articles, shoot/root ratio was manually calculated from shoot and root biomass data, and thus, SD or SE is not available. Resampling techniques were used for the calculation of the variance of effect size, using 9,999 iterations (Feng et al., 2019). The overall response was reported as the percentage change from the control as (r − 1) × 100%......assuming random variation in effect size, which was calculated by the
natural log of the response ratio (r = value in elevated O3 treatment/
value in control O3 treatment) for all variables except shoot/root
ratio (Hedges, Gurevitch, & Curtis, 1999; Rosenberg et al., 1999).
Due to lack of shoot/root ratio data in some articles, shoot/root ratio
was manually calculated from shoot and root biomass data, and thus,
SD or SE is not available. Resampling techniques were used for the
calculation of the variance of effect size, using 9,999 iterations (Feng
et al., 2019).",Random effects model,"To estimate the treatment effect, a random effect model was used, as- suming random variation in effect size, which was calculated by the natural log of the response ratio (r = value in elevated O3 treatment/ value in control O3 treatment) for all variables except shoot/root ratio (Hedges, Gurevitch, & Curtis, 1999; Rosenberg et al., 1999).",Yes,"Resampling techniques were used for the calculation of the variance of effect size, using 9,999 iterations (Feng et al., 2019).",Yes,"The meta‐analysis was performed using the software metawin 2.1.3.4 (Sinauer Associates, Inc.) (Rosenberg, Adams, & Gurevitch, 1999).",Metawin,No,No,NA,No
MRMA_VD_2,MA_024,A review of urban impacts on avian life-history evolution: Does city living lead to slower pace of life?,Yes,"If applicable, guidelines listed in Koricheva and Gurevitch (2014) were followed when carrying out a meta-analysis",Koricheva and Gurevitch 2014,No,NA,self-described,"To include all results from the literature, we opted for absolute risk reduction as our effect size metric. This allowed us to estimate the SE for the effect size for most studies directly. For studies where only total sample size was presented in addition to the effect size point estimates (of annual survival or average clutch size), we estimated the SE using a linear model with square root of the sample size and absolute effect size as predictors (separately for both analyses).....NA",Bayesian  random-effects meta-analysis,"We fitted a Gaussian mixed model in a Bayesian framework, separately for both analyses.",Yes,"To include all results from the literature, we opted for absolute risk reduction as our effect size metric. This allowed us to estimate the SE for the effect size for most studies directly. For studies where only total sample size was presented in addition to the effect size point estimates (of annual survival or average clutch size), we estimated the SE using a linear model with square root of the sample size and absolute effect size as predictors (separately for both analyses)",Yes,"The R Package RStan was used to run the Bayesian inference (Stan Development Team, 2016).",R,No,Yes,No,Yes
MRMA_VD_3,MA_025,How quantitative is metabarcoding: A meta-analytical approach,No,NA,NA,No,NA,slope,"Slope is a commonly used effect size when the relationship between two continuous variables is being investigated (Rosenberg, Rothstein, & Gurevitch, 2013). In this instance, it was chosen as it is easy to interpret and meets the statistical assumptions of the metaanalysis model without transformation (in this instance, because slopes did not approach vertical asymptotes and little skewness was present in the data).....Slope is a commonly used effect size when the relationship between two continuous variables is being investigated (Rosenberg, Rothstein, & Gurevitch, 2013). In this instance, it was chosen as it is easy to interpret and meets the statistical assumptions of the metaanalysis model without transformation (in this instance, because slopes did not approach vertical asymptotes and little skewness was present in the data)",Multilevel random effects model,a crossstudy slope estimate was determined using a two‐level nested random‐effects model using a restricted likelihood function.,Yes,The variance of the slope was calculated in R and used as the sampling variance as described by Rosenberg et al. (2013),Yes,"All meta‐analysis was conducted in the customizable, opensource, meta‐analysis package “metafor” (Viechtbauer, 2010) in R.",R,No,Yes,No,No
MRMA_VD_4,MA_026,Who let the cats out? A global meta-analysis on risk of parasitic infection in indoor versus outdoor domestic cats (Felis catus),Yes,"A literature search using Web of Science was conducted on 11 January 2018, following PRISMA [85] guidelines, with the fol- lowing keywords: ‘feral cat’ OR ‘feral dog*’ AND ‘infect*’ OR ‘parasit*’ OR ‘disease*’ OR ‘virus*’, excluding reviews. This search returned 500 research articles, which were manually sorted for relevance.",PRISMA,No,NA,odds ratio,"All analyses were completed in R v.1.1.453 using the metafor package for random effects models to account for between- study heterogeneity using the OR effect size [87,88], where an OR is the probability of an outcome as related to an exposure [89].[...] To determine the true effect of increasing latitude (since OR is only a relative comparison of indoor-only and outdoor cats), we also conducted a meta-regression using a raw pro- portion of the total number of infected cats, with absolute latitude as a moderator......All analyses were completed in R v.1.1.453 using the metafor package for random effects models to account for between- study heterogeneity using the OR effect size [87,88], where an OR is the probability of an outcome as related to an exposure [89].[...] To determine the true effect of increasing latitude (since OR is only a relative comparison of indoor-only and outdoor cats), we also conducted a meta-regression using a raw pro- portion of the total number of infected cats, with absolute latitude as a moderator.",Random effects model,"All analyses were completed in R v.1.1.453 using the metafor package for random effects models to account for between- study heterogeneity using the OR effect size [87,88], where an OR is the probability of an outcome as related to an exposure [89].",Yes,"All analyses were completed in R v.1.1.453 using the metafor package for random effects models to account for between- study heterogeneity using the OR effect size [87,88], where an OR is the probability of an outcome as related to an exposure [89].[...] To determine the true effect of increasing latitude (since OR is only a relative comparison of indoor-only and outdoor cats), we also conducted a meta-regression using a raw pro- portion of the total number of infected cats, with absolute latitude as a moderator.",Yes,"All analyses were completed in R v.1.1.453 using the metafor package for random effects models to account for between- study heterogeneity using the OR effect size [87,88], where an OR is the probability of an outcome as related to an exposure [89].[...] Latitude of each study was determined using Google Earth by selecting the middle of the smallest geographical area provided (such as country, state/province or city).",R,Yes,No,No,Yes
MRMA_VD_5,MA_027,Conventional land-use intensification reduces species richness and increases production: A global meta-analysis,Yes,"We conducted a systematic review in compliance with the Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) framework (Moher, 2009; see Figure S1)",PRISMA,No,NA,response ratio,"Using the extracted means, standard deviations and sample sizes for both lower intensity control and higher intensity treatment, we calculated log-transformed response ratios and variances (Koricheva, Gurevitch, & Mengersen, 2013).....Using the extracted means, standard deviations and sample sizes for both lower intensity control and higher intensity treatment, we calculated log-transformed response ratios and variances (Koricheva, Gurevitch, & Mengersen, 2013)",Multi-level random effect model,"We analyzed variation in species richness and yield effect sizes using linear mixed‐effects meta‐analysis models (in R version 3.0.1 using the function rma.mv, in the package metafor version 1.9.8; Viechtbauer, 2010). This function is particularly designed for performing multilevel meta‐analyses.",Yes,"Using the extracted means, standard deviations and sample sizes for both lower intensity control and higher intensity treatment, we calculated log-transformed response ratios and variances (Koricheva, Gurevitch, & Mengersen, 2013)",Yes,"We imputed missing data for standard deviations (169 out of 449 cases) based on predictive mean matching using the R package mice (version 2.22; van Buuren & Groothuis-Oudshoorn, 2011). [...] We analyzed variation in species richness and yield effect sizes using linear mixed-effects meta-analysis models (in R version 3.0.1 using the function rma.mv, in the package metafor version 1.9.8; Viechtbauer, 2010).[...] We analyzed variation in species richness and yield effect sizes using linear mixed-effects meta-analysis models (in R version 3.0.1 using the function rma.mv, in the package metafor version 1.9.8; Viechtbauer, 2010).",R,Yes,Yes,Yes,Yes
MRMA_VD_6,MA_028,Diversity–disturbance relationship in forest landscapes,No,NA,NA,No,NA,self-described (disturbance on species richness),"Most measures of effect size (ES) require a control to determine response ratio (Hedges et al. 1999), but here we introduce a new measure of effect size based only on multiple independent observations. We calculated the ES of disturbance on species richness as: where Dij (i = 1, 2…41; j = 1, 2…ni) is the mean richness of the jth observation in the ith study and Ui is the grand mean of all observations within each study......Most measures of effect size (ES) require a control to determine response ratio (Hedges et al. 1999), but here we introduce a new measure of effect size based only on multiple independent observations. We calculated the ES of disturbance on species richness as: where Dij (i = 1, 2…41; j = 1, 2…ni) is the mean richness of the jth observation in the ith study and Ui is the grand mean of all observations within each study.",Mixed effects model,"We developed a mixed effects, multiple linear regression model for richness in which we evaluated the effects of disturbance frequency, inten- sity, and their interaction on ES (Hall et al. 2012).[...] The full model included all the predictors including a quadratic term for disturbance frequency in a mixed-effects model with study as a random factor.[...] We consequently reported the results from linear mixed effect models.",Yes,The corresponding sampling variance (sij2) and sample size (nij) for the ES were derived from the original studies. Each ESij was then weighted by the inverse of sij2/nij in subsequent analyses (Hedges et al. 1999).,Yes,"We performed analysis in package metafor 1.6 (Viechtbauer 2010) in R 3.1.0 (R Development Core Team 2014) as well as linear mixed effect models by R package lme4 (Bates et al. 2013), and both analyses produced the same results.",R,Yes,Yes,Yes,No
MRMA_VD_7,MA_029,A Meta-Analysis of Band Reporting Probabilities for North American Waterfowl,No,NA,NA,No,NA,self-described (reporting probabilities),"We calculated effect sizes (E[0.50], E[0.70]) relative to 0.50 and 0.70 baseline reporting probabilities (i.e., intercepts of 0 or 0.85 on the logit scale).....We calculated effect sizes (E[0.50], E[0.70]) relative to 0.50 and 0.70 baseline reporting probabilities (i.e., intercepts of 0 or 0.85 on the logit scale)",Bayesian hierarchical autoregressive random effects model [...] Meta-regression in Bayesian framework,We modeled the logit of annual band reporting probability (pt) using a hierarchical autoregressive model in program JAGS,Yes,and εobs was the reported measurement error (SE) of the observed reporting probability.,Yes,"JAGS (JAGS 4.30, http://mcmc‐jags.sourceforge.net/,accessed 1 Jul 2019), accessed using the jagsUI package ( jagsUI 1.5.0, https://CRAN.R‐project.org/package=jagsUI, accessed 20 Dec 2018) in program R (R version 3.5.2, www.r‐project.org, accessed 20 Dec 2018).",R,Yes,Yes,No,Yes
MRMA_VD_8,MA_030,Correlation of native and exotic species richness: a global meta-analysis finds no invasion paradox across scales,Yes,Supplementary material; Prisma flowchart available,PRISMA,No,NA,correlation,"The Pearson’s product–moment correlation coefficient (r) from each case was normalized using Fisher’s z transformation as an effect size, where the sample size was the number of plots for which of exotic and native species numbers were calculated (see Appendix S2 for details).[...] Our database of 101 studies included 204 individual cases (Data S2). The effect size increased with grain size, and the intercept of the regression was positive (with grain on a natural log scale, slope = 0.0373, 95% CI [0.0247, 0.0498], P < 0.0001; intercept = 0.1294, 95% CI [0.0193, 0.2395]) [...] The NERR of experimental studies was generally negative (Data S3; mean effect size = ?0.77, 95% CI [?1.30, ?0.23])......transformation as an effect size, where the sample size was the number of plots for which of exotic and native species numbers were calculated (see Appendix S2 for details).",Mixed-effects meta-regression,"We constructed an inverse-variance-weighted hierarchical mixed-effects meta-regression of z as a function of covariates of interest, estimating within-study and among-study variance (model detailed in Appendix S2).",Yes,"transformation as an effect size, where the sample size was the number of plots for which of exotic and native species numbers were calculated (see Appendix S2 for details).",Yes,"Initial data exploration was conducted by using OpenMEE software (Wallace et al. 2017; software avail- able online). Full analyses were conducted in R version 3.3.3 using the metafor package (Viechtbauer 2010, R Core Team 2017)",R,Yes,Yes,Yes,Yes
