MA_ID,data_shared,processed_data_shared,processed_data_shared_location,processed_data_links,processed_data_number_of_links,processed_data_chosen_link,raw_data_shared,raw_data_shared_location,raw_data_links,raw_data_number_of_links,raw_data_chosen_link,code_shared,code_shared_location,code_links,code_number_of_links,code_chosen_link,data_and_code_sharing_comments,observer_disagreement
MA_019,Yes,Yes,https://onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1111%2Fgcb.13569&file=gcb13569-sup-0001-TableS1.xlsx,https://onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1111%2Fgcb.13569&file=gcb13569-sup-0001-TableS1.xlsx,1,https://onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1111%2Fgcb.13569&file=gcb13569-sup-0001-TableS1.xlsx,No,NA,,0,NA,No,NA,,0,NA,NA,effect_size_sign_accounted
MA_020,Yes,No,NA,,0,NA,Yes,https://doi.org/10.5061/dryad.6cm5d7f,https://doi.org/10.5061/dryad.6cm5d7f,1,https://doi.org/10.5061/dryad.6cm5d7f,No,NA,,0,NA,NA,inferential_statistics
MA_020,Yes,No,NA,,0,NA,Yes,https://doi.org/10.5061/dryad.6cm5d7f,https://doi.org/10.5061/dryad.6cm5d7f,1,https://doi.org/10.5061/dryad.6cm5d7f,No,NA,,0,NA,"The use R and ""Metaphor"", no code provided.",inferential_statistics
MA_021,Yes,Yes,as supp information: gcb14394-sup-0002-DataS1-S3.xlsx,NA,0,http://doi.org/10.1111/gcb.14394,Yes,as supp information: gcb14394-sup-0002-DataS1-S3.xlsx,NA,0,http://doi.org/10.1111/gcb.14394,No,NA,NA,0,NA,NA,NA
MA_022,No,No,NA,,0,NA,No,NA,,0,NA,No,NA,,0,NA,they provided processes data and code for post hoc analysis but not for the effect size themselves,effect_size_sign_accounted; inferential_statistics; processed_data_shared; raw_data_shared; data_shared; code_shared
MA_022,Yes,Yes,https://doi.org/10.1111/fwb.12918,https://doi.org/10.1111/fwb.12918,1,https://doi.org/10.1111/fwb.12918,Yes,https://doi.org/10.1111/fwb.12918,https://doi.org/10.1111/fwb.12918,1,https://doi.org/10.1111/fwb.12918,Yes,https://doi.org/10.1111/fwb.12918,https://doi.org/10.1111/fwb.12918,1,https://doi.org/10.1111/fwb.12918,Data and code shared in the excel file as different spreadsheet in the supplementary material,effect_size_sign_accounted; inferential_statistics; processed_data_shared; raw_data_shared; data_shared; code_shared
MA_023,No,No,NA,,0,NA,No,NA,,0,NA,No,NA,,0,NA,"In Table 1 of the main text they do share some of the data (only means, no SE or SD values, no moderators) that is why I said NO because one could not repeat the analysis based on what they provide",effect_size_sign_accounted
MA_023,No,No,NA,,0,NA,No,NA,,0,NA,No,NA,,0,NA,"The meta‐analysis was performed using the software metawin 2.1.3.4 (Sinauer Associates, Inc.) (Rosenberg, Adams, & Gurevitch, 1999)",effect_size_sign_accounted
MA_024,No,No,NA,,0,NA,No,NA,,0,NA,No,NA,,0,NA,NA,effect_size_sign_accounted; inferential_statistics; processed_data_shared; data_shared; code_shared
MA_024,Yes,Yes,https://onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1111%2Fgcb.13969&file=gcb13969-sup-0001-SupInfo.docx,https://onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1111%2Fgcb.13969&file=gcb13969-sup-0001-SupInfo.docx,1,https://onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1111%2Fgcb.13969&file=gcb13969-sup-0001-SupInfo.docx,No,NA,,0,NA,Yes,https://onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1111%2Fgcb.13969&file=gcb13969-sup-0001-SupInfo.docx,https://onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1111%2Fgcb.13969&file=gcb13969-sup-0001-SupInfo.docx,1,https://onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1111%2Fgcb.13969&file=gcb13969-sup-0001-SupInfo.docx,NA,effect_size_sign_accounted; inferential_statistics; processed_data_shared; data_shared; code_shared
MA_025,Yes,No,NA,,0,NA,Yes,https://datadryad.org/dataset/doi:10.5061/dryad.085jj60,https://datadryad.org/dataset/doi:10.5061/dryad.085jj60,1,https://datadryad.org/dataset/doi:10.5061/dryad.085jj60,No,NA,,0,NA,NA,NA
MA_026,Yes,No,NA,NA,0,NA,Yes,https://figshare.com/s/3eebaf42e161c0e7e1ef,https://figshare.com/s/3eebaf42e161c0e7e1ef,1,https://figshare.com/s/3eebaf42e161c0e7e1ef,Yes,https://figshare.com/s/a334c7815b128cb63b98,https://figshare.com/s/a334c7815b128cb63b98,1,https://figshare.com/s/a334c7815b128cb63b98,NA,effect_size_sign_accounted
MA_026,Yes,No,NA,,0,NA,Yes,https://figshare.com/s/3eebaf42e161c0e7e1ef?file=13199204,https://figshare.com/s/3eebaf42e161c0e7e1ef?file=13199204,1,https://figshare.com/s/3eebaf42e161c0e7e1ef?file=13199204,Yes,https://figshare.com/s/a334c7815b128cb63b98?file=13199150,https://figshare.com/s/a334c7815b128cb63b98?file=13199150,1,https://figshare.com/s/a334c7815b128cb63b98?file=13199150,The code processes the data to produce the processed odds ratios (effect sizes).,effect_size_sign_accounted
MA_027,Yes,Yes,https://onlinelibrary.wiley.com/doi/10.1111/gcb.14606,https://onlinelibrary.wiley.com/doi/10.1111/gcb.14606,1,https://onlinelibrary.wiley.com/doi/10.1111/gcb.14606,Yes,https://onlinelibrary.wiley.com/doi/10.1111/gcb.14606,https://onlinelibrary.wiley.com/doi/10.1111/gcb.14606,1,https://onlinelibrary.wiley.com/doi/10.1111/gcb.14606,Yes,https://github.com/KatharinaGerstner/LUBDES_MA,https://github.com/KatharinaGerstner/LUBDES_MA,1,https://github.com/KatharinaGerstner/LUBDES_MA,NA,effect_size_sign_accounted; processed_data_shared; code_shared
MA_027,Yes,No,NA,,0,NA,Yes,As supplementary material https://onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1111%2Fgcb.14606&file=gcb14606-sup-0002-Supinfo2.xlsx,https://onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1111%2Fgcb.14606&file=gcb14606-sup-0002-Supinfo2.xlsx,1,https://onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1111%2Fgcb.14606&file=gcb14606-sup-0002-Supinfo2.xlsx,No,NA,,0,NA,NA,effect_size_sign_accounted; processed_data_shared; code_shared
MA_028,Yes,Yes,https://static-content.springer.com/esm/art%3A10.1007%2Fs10980-015-0325-y/MediaObjects/10980_2015_325_MOESM1_ESM.xls https://link.springer.com/article/10.1007/s10980-015-0325-y,https://static-content.springer.com/esm/art%3A10.1007%2Fs10980-015-0325-y/MediaObjects/10980_2015_325_MOESM1_ESM.xls; https://link.springer.com/article/10.1007/s10980-015-0325-y,2,https://static-content.springer.com/esm/art%3A10.1007%2Fs10980-015-0325-y/MediaObjects/10980_2015_325_MOESM1_ESM.xls,Yes,https://static-content.springer.com/esm/art%3A10.1007%2Fs10980-015-0325-y/MediaObjects/10980_2015_325_MOESM1_ESM.xls https://link.springer.com/article/10.1007/s10980-015-0325-y,https://static-content.springer.com/esm/art%3A10.1007%2Fs10980-015-0325-y/MediaObjects/10980_2015_325_MOESM1_ESM.xls; https://link.springer.com/article/10.1007/s10980-015-0325-y,2,https://static-content.springer.com/esm/art%3A10.1007%2Fs10980-015-0325-y/MediaObjects/10980_2015_325_MOESM1_ESM.xls,No,NA,,0,NA,NA,effect_size_sign_accounted; inferential_statistics
MA_028,Yes,Yes,https://link.springer.com/article/10.1007/s10980-015-0325-y - Supplementary file (Excel),https://link.springer.com/article/10.1007/s10980-015-0325-y,1,https://link.springer.com/article/10.1007/s10980-015-0325-y,Yes,https://link.springer.com/article/10.1007/s10980-015-0325-y - Supplementary file (Excel),https://link.springer.com/article/10.1007/s10980-015-0325-y,1,https://link.springer.com/article/10.1007/s10980-015-0325-y,No,NA,,0,NA,used R,effect_size_sign_accounted; inferential_statistics
MA_029,No,No,NA,,0,NA,No,NA,,0,NA,No,NA,,0,NA,NA,effect_size_sign_accounted; inferential_statistics; processed_data_shared; raw_data_shared; data_shared; code_shared
MA_029,Yes,Yes,https://hdl.handle.net/11299/208786,https://hdl.handle.net/11299/208786,1,https://hdl.handle.net/11299/208786,Yes,https://hdl.handle.net/11299/208786,https://hdl.handle.net/11299/208786,1,https://hdl.handle.net/11299/208786,Yes,https://hdl.handle.net/11299/208786,https://hdl.handle.net/11299/208786,1,https://hdl.handle.net/11299/208786,In this case - raw and processed data are the same i beelive as there are no computed effected sizes etc.,effect_size_sign_accounted; inferential_statistics; processed_data_shared; raw_data_shared; data_shared; code_shared
MA_030,Yes,Yes,https://datadryad.org/dataset/doi:10.5061/dryad.59kv753,https://datadryad.org/dataset/doi:10.5061/dryad.59kv753,1,https://datadryad.org/dataset/doi:10.5061/dryad.59kv753,Yes,https://datadryad.org/dataset/doi:10.5061/dryad.59kv753,https://datadryad.org/dataset/doi:10.5061/dryad.59kv753,1,https://datadryad.org/dataset/doi:10.5061/dryad.59kv753,Yes,https://datadryad.org/dataset/doi:10.5061/dryad.59kv753,https://datadryad.org/dataset/doi:10.5061/dryad.59kv753,1,https://datadryad.org/dataset/doi:10.5061/dryad.59kv753,NA,effect_size_sign_accounted; inferential_statistics; raw_data_shared
MA_030,Yes,Yes,https://datadryad.org/dataset/doi:10.5061/dryad.59kv753,https://datadryad.org/dataset/doi:10.5061/dryad.59kv753,1,https://datadryad.org/dataset/doi:10.5061/dryad.59kv753,No,NA,,0,NA,Yes,https://datadryad.org/dataset/doi:10.5061/dryad.59kv753,https://datadryad.org/dataset/doi:10.5061/dryad.59kv753,1,https://datadryad.org/dataset/doi:10.5061/dryad.59kv753,NA,effect_size_sign_accounted; inferential_statistics; raw_data_shared
MA_031,Yes,No,NA,https://doi.org/10.5061/dryad.kj67m68,1,https://doi.org/10.5061/dryad.kj67m68,Yes,"""The complete database is deposited in Dryad under https ://doi.org/10.5061/d ryad.kj67m68.""",https://doi.org/10.5061/d,1,https://doi.org/10.5061/d,No,NA,NA,0,NA,NA,effect_size_sign_accounted
MA_031,Yes,No,NA,,0,NA,Yes,https://datadryad.org/dataset/doi:10.5061/dryad.kj67m68,https://datadryad.org/dataset/doi:10.5061/dryad.kj67m68,1,https://datadryad.org/dataset/doi:10.5061/dryad.kj67m68,No,NA,,0,NA,NA,effect_size_sign_accounted
MA_032,No,No,NA,,0,NA,No,NA,,0,NA,No,NA,,0,NA,NA,effect_size_sign_accounted; inferential_statistics
MA_032,No,No,NA,,0,NA,No,NA,,0,NA,No,NA,,0,NA,NA,effect_size_sign_accounted; inferential_statistics
MA_033,Yes,No,NA,,0,NA,Yes,https://figshare.com/articles/dataset/Tomasetto_et_al_2019_Ecology_Letters_-_Global_NAR_meta-analysis/7763570?file=14526980,https://figshare.com/articles/dataset/Tomasetto_et_al_2019_Ecology_Letters_-_Global_NAR_meta-analysis/7763570?file=14526980,1,https://figshare.com/articles/dataset/Tomasetto_et_al_2019_Ecology_Letters_-_Global_NAR_meta-analysis/7763570?file=14526980,No,NA,,0,NA,NA,effect_size_sign_accounted; inferential_statistics; processed_data_shared; raw_data_shared
MA_033,Yes,Yes,https://doi.org/ 10.6084/m9.figshare.7763570,https://doi.org/10.6084/m9.figshare.7763570,1,https://doi.org/10.6084/m9.figshare.7763570,No,NA,,0,NA,No,NA,,0,NA,NA,effect_size_sign_accounted; inferential_statistics; processed_data_shared; raw_data_shared
MA_034,Yes,No,NA,,0,NA,Yes,https://datadryad.org/dataset/doi:10.5061/dryad.1756f,https://datadryad.org/dataset/doi:10.5061/dryad.1756f,1,https://datadryad.org/dataset/doi:10.5061/dryad.1756f,No,NA,,0,NA,NA,effect_size_sign_accounted; inferential_statistics
MA_034,Yes,No,NA,,0,NA,Yes,http://doi.org/10.5061/dryad.1756f,http://doi.org/10.5061/dryad.1756f,1,https://http://doi.org/10.5061/dryad.1756f,No,NA,,0,NA,NA,effect_size_sign_accounted; inferential_statistics
MA_035,No,No,NA,,0,NA,No,NA,,0,NA,No,NA,,0,NA,NA,effect_size_sign_accounted; inferential_statistics; processed_data_shared; raw_data_shared; data_shared; code_shared
MA_035,Yes,Yes,https://github.com/DochtermannLab/BehavioralHeritability/blob/master/Compiled2.csv,https://github.com/DochtermannLab/BehavioralHeritability/blob/master/Compiled2.csv,1,https://github.com/DochtermannLab/BehavioralHeritability/blob/master/Compiled2.csv,Yes,https://github.com/DochtermannLab/BehavioralHeritability/blob/master/Compiled2.csv,https://github.com/DochtermannLab/BehavioralHeritability/blob/master/Compiled2.csv,1,https://github.com/DochtermannLab/BehavioralHeritability/blob/master/Compiled2.csv,Yes,GitHub (github.com/DochtermannLab/BehavioralHeritability) and archived online at Dryad (https://doi.org/10.5061/dryad.b38k42m).,https://doi.org/10.5061/dryad.b38k42m),1,https://doi.org/10.5061/dryad.b38k42m),NA,effect_size_sign_accounted; inferential_statistics; processed_data_shared; raw_data_shared; data_shared; code_shared
MA_036,Yes,No,NA,,0,NA,Yes,https://hdl.handle.net/10411/41KALW,https://hdl.handle.net/10411/41KALW,1,https://hdl.handle.net/10411/41KALW,No,NA,,0,NA,Not a lot of info on the analyses; data are available but not the effect size etc.,
MA_036,Yes,No,NA,,0,NA,Yes,https://hdl.handle.net/10411/41KALW,https://hdl.handle.net/10411/41KALW,1,https://hdl.handle.net/10411/41KALW,No,NA,,0,NA,The dataset available via the link appears to just have input data. No lnRR estimates or sampling error.,
MA_037,Yes,Yes,https://rs.figshare.com/articles/dataset/Correlations_for_meta-analysis_from_How_general_is_cognitive_ability_in_non-human_animals_A_meta-analytical_and_multi-level_reanalysis_approach/13336613?backTo=%2Fcollections%2FSupplementary_material_from_How_general_is_cognitive_ability_in_non-human_animals_A_meta-analytical_and_multi-level_reanalysis_approach_%2F5230301&file=25689131,https://rs.figshare.com/articles/dataset/Correlations_for_meta-analysis_from_How_general_is_cognitive_ability_in_non-human_animals_A_meta-analytical_and_multi-level_reanalysis_approach/13336613?backTo=%2Fcollections%2FSupplementary_material_from_How_general_is_cognitive_ability_in_non-human_animals_A_meta-analytical_and_multi-level_reanalysis_approach_%2F5230301&file=25689131,1,https://rs.figshare.com/articles/dataset/Correlations_for_meta-analysis_from_How_general_is_cognitive_ability_in_non-human_animals_A_meta-analytical_and_multi-level_reanalysis_approach/13336613?backTo=%2Fcollections%2FSupplementary_material_from_How_general_is_cognitive_ability_in_non-human_animals_A_meta-analytical_and_multi-level_reanalysis_approach_%2F5230301&file=25689131,Yes,https://rs.figshare.com/articles/dataset/Summary_for_meta-analysis_from_How_general_is_cognitive_ability_in_non-human_animals_A_meta-analytical_and_multi-level_reanalysis_approach/13336604?backTo=%2Fcollections%2FSupplementary_material_from_How_general_is_cognitive_ability_in_non-human_animals_A_meta-analytical_and_multi-level_reanalysis_approach_%2F5230301&file=25689122,https://rs.figshare.com/articles/dataset/Summary_for_meta-analysis_from_How_general_is_cognitive_ability_in_non-human_animals_A_meta-analytical_and_multi-level_reanalysis_approach/13336604?backTo=%2Fcollections%2FSupplementary_material_from_How_general_is_cognitive_ability_in_non-human_animals_A_meta-analytical_and_multi-level_reanalysis_approach_%2F5230301&file=25689122,1,https://rs.figshare.com/articles/dataset/Summary_for_meta-analysis_from_How_general_is_cognitive_ability_in_non-human_animals_A_meta-analytical_and_multi-level_reanalysis_approach/13336604?backTo=%2Fcollections%2FSupplementary_material_from_How_general_is_cognitive_ability_in_non-human_animals_A_meta-analytical_and_multi-level_reanalysis_approach_%2F5230301&file=25689122,Yes,https://rs.figshare.com/articles/dataset/Code_for_case_study_analysis_from_How_general_is_cognitive_ability_in_non-human_animals_A_meta-analytical_and_multi-level_reanalysis_approach/13336610?backTo=%2Fcollections%2FSupplementary_material_from_How_general_is_cognitive_ability_in_non-human_animals_A_meta-analytical_and_multi-level_reanalysis_approach_%2F5230301&file=25689128,https://rs.figshare.com/articles/dataset/Code_for_case_study_analysis_from_How_general_is_cognitive_ability_in_non-human_animals_A_meta-analytical_and_multi-level_reanalysis_approach/13336610?backTo=%2Fcollections%2FSupplementary_material_from_How_general_is_cognitive_ability_in_non-human_animals_A_meta-analytical_and_multi-level_reanalysis_approach_%2F5230301&file=25689128,1,https://rs.figshare.com/articles/dataset/Code_for_case_study_analysis_from_How_general_is_cognitive_ability_in_non-human_animals_A_meta-analytical_and_multi-level_reanalysis_approach/13336610?backTo=%2Fcollections%2FSupplementary_material_from_How_general_is_cognitive_ability_in_non-human_animals_A_meta-analytical_and_multi-level_reanalysis_approach_%2F5230301&file=25689128,NA,effect_size_sign_accounted; inferential_statistics; processed_data_shared
MA_037,Yes,No,NA,NA,0,NA,Yes,https://rs.figshare.com/articles/dataset/Correlations_for_meta-analysis_from_How_general_is_cognitive_ability_in_non-human_animals_A_meta-analytical_and_multi-level_reanalysis_approach/13336613?backTo=%2Fcollections%2FSupplementary_material_from_How_general_is_cognitive_ability_in_non-human_animals_A_meta-analytical_and_multi-level_reanalysis_approach_%2F5230301&file=25689131; https://rs.figshare.com/articles/dataset/Summary_for_meta-analysis_from_How_general_is_cognitive_ability_in_non-human_animals_A_meta-analytical_and_multi-level_reanalysis_approach/13336604?backTo=%2Fcollections%2FSupplementary_material_from_How_general_is_cognitive_ability_in_non-human_animals_A_meta-analytical_and_multi-level_reanalysis_approach_%2F5230301&file=25689122,https://rs.figshare.com/articles/dataset/Correlations_for_meta-analysis_from_How_general_is_cognitive_ability_in_non-human_animals_A_meta-analytical_and_multi-level_reanalysis_approach/13336613?backTo=%2Fcollections%2FSupplementary_material_from_How_general_is_cognitive_ability_in_non-human_animals_A_meta-analytical_and_multi-level_reanalysis_approach_%2F5230301&file=25689131; https://rs.figshare.com/articles/dataset/Summary_for_meta-analysis_from_How_general_is_cognitive_ability_in_non-human_animals_A_meta-analytical_and_multi-level_reanalysis_approach/13336604?backTo=%2Fcollections%2FSupplementary_material_from_How_general_is_cognitive_ability_in_non-human_animals_A_meta-analytical_and_multi-level_reanalysis_approach_%2F5230301&file=25689122,2,https://rs.figshare.com/articles/dataset/Correlations_for_meta-analysis_from_How_general_is_cognitive_ability_in_non-human_animals_A_meta-analytical_and_multi-level_reanalysis_approach/13336613?backTo=%2Fcollections%2FSupplementary_material_from_How_general_is_cognitive_ability_in_non-human_animals_A_meta-analytical_and_multi-level_reanalysis_approach_%2F5230301&file=25689131,Yes,https://rs.figshare.com/articles/dataset/Code_for_case_study_analysis_from_How_general_is_cognitive_ability_in_non-human_animals_A_meta-analytical_and_multi-level_reanalysis_approach/13336610?backTo=%2Fcollections%2FSupplementary_material_from_How_general_is_cognitive_ability_in_non-human_animals_A_meta-analytical_and_multi-level_reanalysis_approach_%2F5230301&file=25689128,https://rs.figshare.com/articles/dataset/Code_for_case_study_analysis_from_How_general_is_cognitive_ability_in_non-human_animals_A_meta-analytical_and_multi-level_reanalysis_approach/13336610?backTo=%2Fcollections%2FSupplementary_material_from_How_general_is_cognitive_ability_in_non-human_animals_A_meta-analytical_and_multi-level_reanalysis_approach_%2F5230301&file=25689128,1,https://rs.figshare.com/articles/dataset/Code_for_case_study_analysis_from_How_general_is_cognitive_ability_in_non-human_animals_A_meta-analytical_and_multi-level_reanalysis_approach/13336610?backTo=%2Fcollections%2FSupplementary_material_from_How_general_is_cognitive_ability_in_non-human_animals_A_meta-analytical_and_multi-level_reanalysis_approach_%2F5230301&file=25689128,NA,effect_size_sign_accounted; inferential_statistics; processed_data_shared
MA_038,Yes,No,NA,,0,NA,Yes,https://onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1111%2Fjbi.13791&file=jbi13791-sup-0004-Appendixdata.xlsx,https://onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1111%2Fjbi.13791&file=jbi13791-sup-0004-Appendixdata.xlsx,1,https://onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1111%2Fjbi.13791&file=jbi13791-sup-0004-Appendixdata.xlsx,No,NA,,0,NA,"Raw Data, missing some values, so assumed not processed",inferential_statistics
MA_038,Yes,No,NA,,0,NA,Yes,https://datadryad.org/dataset/doi:10.5061/dryad.j6q573n8q,https://datadryad.org/dataset/doi:10.5061/dryad.j6q573n8q,1,https://datadryad.org/dataset/doi:10.5061/dryad.j6q573n8q,No,NA,,0,NA,NA,inferential_statistics
MA_039,Yes,Yes,https://onlinelibrary.wiley.com/doi/10.1111/gcb.14970,https://onlinelibrary.wiley.com/doi/10.1111/gcb.14970,1,https://onlinelibrary.wiley.com/doi/10.1111/gcb.14970,Yes,https://onlinelibrary.wiley.com/doi/10.1111/gcb.14970,https://onlinelibrary.wiley.com/doi/10.1111/gcb.14970,1,https://onlinelibrary.wiley.com/doi/10.1111/gcb.14970,No,NA,,0,NA,Appendix: gcb14970-sup-0002-AppendixDatasetS1.xlsx,effect_size_sign_accounted; inferential_statistics; raw_data_shared
MA_039,Yes,Yes,https://onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1111%2Fgcb.14970&file=gcb14970-sup-0002-AppendixDatasetS1.xlsx,https://onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1111%2Fgcb.14970&file=gcb14970-sup-0002-AppendixDatasetS1.xlsx,1,https://onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1111%2Fgcb.14970&file=gcb14970-sup-0002-AppendixDatasetS1.xlsx,No,NA,,0,NA,No,NA,,0,NA,NA,effect_size_sign_accounted; inferential_statistics; raw_data_shared
MA_040,No,No,NA,,0,NA,No,NA,,0,NA,No,NA,,0,NA,some data are accessible in appendix 2 http://www.ecography.org/appendix/ecog-02380,NA
MA_041,Yes,Yes,as a table in the main text,NA,0,https://doi.org/10.1002/ecs2.2354,Yes,as a table in the main text,NA,0,https://doi.org/10.1002/ecs2.2354,No,NA,NA,0,NA,NA,inferential_statistics; processed_data_shared; raw_data_shared; data_shared
MA_041,No,No,NA,,0,NA,No,NA,,0,NA,No,NA,,0,NA,NA,inferential_statistics; processed_data_shared; raw_data_shared; data_shared
MA_042,Yes,No,NA,NA,0,NA,Yes,"Underlying mortality data for all studies in Table 3, and survival rate in Table 2 of main text.",NA,0,http://doi.org/10.1002/jwmg.21456,No,NA,NA,0,NA,"Raw data is included for some but not all of the studies. Authors include survival rates for some of the studies, as well as numbers of mortality, but do not include calculated mortality rates (calculated effect size) for each study.",NA
MA_043,Yes,Yes,https://onlinelibrary.wiley.com/doi/10.1111/geb.12638,https://onlinelibrary.wiley.com/doi/10.1111/geb.12638,1,https://onlinelibrary.wiley.com/doi/10.1111/geb.12638,Yes,https://onlinelibrary.wiley.com/doi/10.1111/geb.12638,https://onlinelibrary.wiley.com/doi/10.1111/geb.12638,1,https://onlinelibrary.wiley.com/doi/10.1111/geb.12638,No,NA,,0,NA,NA,processed_data_shared; raw_data_shared; data_shared; RoB_assessment
MA_043,No,No,NA,,0,NA,No,NA,,0,NA,No,NA,,0,NA,NA,processed_data_shared; raw_data_shared; data_shared; RoB_assessment
MA_044,Yes,No,NA,,0,NA,Yes,As supp material. https://onlinelibrary.wiley.com/doi/full/10.1111/gcb.14933,https://onlinelibrary.wiley.com/doi/full/10.1111/gcb.14933,1,https://onlinelibrary.wiley.com/doi/full/10.1111/gcb.14933,No,NA,,0,NA,NA,NA
MA_045,No,No,NA,,0,NA,No,NA,,0,NA,No,NA,,0,NA,"The authors shared an Excel sheet, but it does not contain any numerical data—only categorizations of the data (i.e., one could argue it is a form of metadata).",effect_size_sign_accounted; inferential_statistics
MA_045,No,No,NA,,0,NA,No,NA,,0,NA,No,NA,,0,NA,NA,effect_size_sign_accounted; inferential_statistics
MA_046,Yes,No,NA,,0,NA,Yes,SI material: https://onlinelibrary.wiley.com/doi/10.1111/gcb.14163,https://onlinelibrary.wiley.com/doi/10.1111/gcb.14163,1,https://onlinelibrary.wiley.com/doi/10.1111/gcb.14163,No,NA,,0,NA,used Metawin,effect_size_sign_accounted; inferential_statistics; raw_data_shared; data_shared
MA_046,No,No,NA,,0,NA,No,NA,,0,NA,No,NA,,0,NA,NA,effect_size_sign_accounted; inferential_statistics; raw_data_shared; data_shared
MA_048,No,No,NA,,0,NA,No,NA,,0,NA,No,NA,,0,NA,NA,inferential_statistics; processed_data_shared; raw_data_shared; data_shared
MA_048,Yes,Yes,https://onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1111%2Fgcb.14023&file=gcb14023-sup-0005-TableS3.csv,https://onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1111%2Fgcb.14023&file=gcb14023-sup-0005-TableS3.csv,1,https://onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1111%2Fgcb.14023&file=gcb14023-sup-0005-TableS3.csv,Yes,https://onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1111%2Fgcb.14023&file=gcb14023-sup-0005-TableS3.csv,https://onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1111%2Fgcb.14023&file=gcb14023-sup-0005-TableS3.csv,1,https://onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1111%2Fgcb.14023&file=gcb14023-sup-0005-TableS3.csv,No,NA,,0,NA,NA,inferential_statistics; processed_data_shared; raw_data_shared; data_shared
MA_049,No,No,NA,,0,NA,No,NA,,0,NA,No,NA,,0,NA,"The authors shared a table in a Word document, but it does not contain any numerical data—only categorizations of the data (i.e., one could argue it is a form of metadata).",inferential_statistics
