MA_ID,data_shared,processed_data_shared,processed_data_shared_location,processed_data_links,processed_data_number_of_links,processed_data_chosen_link,raw_data_shared,raw_data_shared_location,raw_data_links,raw_data_number_of_links,raw_data_chosen_link,code_shared,code_shared_location,code_links,code_number_of_links,code_chosen_link,data_and_code_sharing_comments,observer_disagreement
MA_059,Yes,Yes,https://doi.org/10.5281/zenodo.439109,https://doi.org/10.5281/zenodo.439109,1,https://doi.org/10.5281/zenodo.439109,Yes,https://doi.org/10.5281/zenodo.439109,https://doi.org/10.5281/zenodo.439109,1,https://doi.org/10.5281/zenodo.439109,Yes,https://doi.org/10.5281/zenodo.439109,https://doi.org/10.5281/zenodo.439109,1,https://doi.org/10.5281/zenodo.439109,NA,effect_size_sign_accounted
MA_059,Yes,Yes,https://zenodo.org/records/439109,https://zenodo.org/records/439109,1,https://zenodo.org/records/439109,Yes,https://zenodo.org/records/439109,https://zenodo.org/records/439109,1,https://zenodo.org/records/439109,Yes,https://zenodo.org/records/439109,https://zenodo.org/records/439109,1,https://zenodo.org/records/439109,NA,effect_size_sign_accounted
MA_060,No,No,NA,,0,NA,No,NA,,0,NA,No,NA,,0,NA,Some data reported but incomplete https://www.sciencedirect.com/science/article/pii/S0925857420300781,
MA_060,No,No,NA,,0,NA,No,NA,,0,NA,No,NA,,0,NA,"""Data availability Original data set and analysis script available from authors upon request.""",
MA_061,Yes,No,NA,,0,NA,Yes,https ://doi.org/10.15131/ shef. data.11590902.v1,https://doi.org/10.15131/,1,https://doi.org/10.15131/,No,NA,,0,NA,NA,effect_size_sign_accounted; RoB_assessment
MA_061,Yes,No,NA,,0,NA,Yes,https://orda.shef.ac.uk/articles/dataset/Data_for_paper_Mass-abundance_scaling_in_avian_communities_is_maintained_after_tropical_selective_logging_/11590902/1?file=20948712,https://orda.shef.ac.uk/articles/dataset/Data_for_paper_Mass-abundance_scaling_in_avian_communities_is_maintained_after_tropical_selective_logging_/11590902/1?file=20948712,1,https://orda.shef.ac.uk/articles/dataset/Data_for_paper_Mass-abundance_scaling_in_avian_communities_is_maintained_after_tropical_selective_logging_/11590902/1?file=20948712,No,NA,,0,NA,NA,effect_size_sign_accounted; RoB_assessment
MA_062,No,No,NA,,0,NA,No,NA,,0,NA,No,NA,,0,NA,"The paper states that the data is available at https://figsh are.com/s/8ebfa bf329 c09de 0277e, but it's ""privately shared"" (need to send email to authors to access it)",effect_size_sign_accounted
MA_062,No,No,NA,,0,NA,No,NA,,0,NA,No,NA,,0,NA,They state sharing the data but there is no data there: https://figshare.com/s/8ebfabf329c09de0277e,effect_size_sign_accounted
MA_063,No,No,NA,,0,NA,No,NA,,0,NA,No,NA,,0,NA,NA,
MA_063,No,No,NA,,0,NA,No,NA,,0,NA,No,NA,,0,NA,NA,
MA_064,No,No,NA,http://dx.doi.org/10.1016/j.agee.2015.09.030,1,https://http://dx.doi.org/10.1016/j.agee.2015.09.030,No,NA,NA,0,NA,No,NA,NA,0,NA,NA,processed_data_shared; data_shared
MA_064,Yes,Yes,https://www.sciencedirect.com/science/article/pii/S0167880915300943#sec0100,https://www.sciencedirect.com/science/article/pii/S0167880915300943#sec0100,1,https://www.sciencedirect.com/science/article/pii/S0167880915300943#sec0100,No,NA,,0,NA,No,NA,,0,NA,I think the processed data is in Appendix 1 and which was used for the meta-analysis - although it is very difficult to tell.,processed_data_shared; data_shared
MA_065,Yes,Yes,https://doi.org/10.6084/m9.figshare.4958687,https://doi.org/10.6084/m9.figshare.4958687,1,https://doi.org/10.6084/m9.figshare.4958687,Yes,https://doi.org/10.6084/m9.figshare.4958687,https://doi.org/10.6084/m9.figshare.4958687,1,https://doi.org/10.6084/m9.figshare.4958687,No,NA,,0,NA,"From what I see they have shared processed data as you call it (e.g. moderators), but without the effect size calculated. However I guess this can be calculated form the row data.",effect_size_sign_accounted; processed_data_shared
MA_065,Yes,No,NA,,0,NA,Yes,https://figshare.com/articles/dataset/Dataset_for_Plant_diversity_and_water_quality_in_wetlands_a_meta-analysis/4958687?file=8339831,https://figshare.com/articles/dataset/Dataset_for_Plant_diversity_and_water_quality_in_wetlands_a_meta-analysis/4958687?file=8339831,1,https://figshare.com/articles/dataset/Dataset_for_Plant_diversity_and_water_quality_in_wetlands_a_meta-analysis/4958687?file=8339831,No,NA,,0,NA,NA,effect_size_sign_accounted; processed_data_shared
MA_066,No,No,NA,,0,NA,No,NA,,0,NA,No,NA,,0,NA,NA,
MA_066,No,No,NA,,0,NA,No,NA,,0,NA,No,NA,,0,NA,NA,
MA_067,No,No,NA,,0,NA,No,NA,,0,NA,No,NA,,0,NA,NA,processed_data_shared; data_shared
MA_067,Yes,Yes,https://onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1111%2Fgcb.13837&file=gcb13837-sup-0001-SupInfo.docx,https://onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1111%2Fgcb.13837&file=gcb13837-sup-0001-SupInfo.docx,1,https://onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1111%2Fgcb.13837&file=gcb13837-sup-0001-SupInfo.docx,No,NA,,0,NA,No,NA,,0,NA,NA,processed_data_shared; data_shared
MA_068,Yes,Yes,https://onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1111%2Fele.13095&file=ele13095-sup-0002-TableS1.xlsx,https://onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1111%2Fele.13095&file=ele13095-sup-0002-TableS1.xlsx,1,https://onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1111%2Fele.13095&file=ele13095-sup-0002-TableS1.xlsx,Yes,https://onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1111%2Fele.13095&file=ele13095-sup-0002-TableS1.xlsx,https://onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1111%2Fele.13095&file=ele13095-sup-0002-TableS1.xlsx,1,https://onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1111%2Fele.13095&file=ele13095-sup-0002-TableS1.xlsx,No,NA,,0,NA,NA,NA
MA_069,No,No,NA,,0,NA,No,NA,,0,NA,No,NA,,0,NA,I could not access the supplementary materials so could not check them for data. so not sure if my answers are correct,NA
MA_070,Yes,Yes,Table S1 in Supporting Information (https://onlinelibrary.wiley.com/doi/full/10.1002/eco.1934),https://onlinelibrary.wiley.com/doi/full/10.1002/eco.1934),1,https://onlinelibrary.wiley.com/doi/full/10.1002/eco.1934),No,NA,,0,NA,No,NA,,0,NA,NA,effect_size_sign_accounted; processed_data_shared; data_shared
MA_070,No,No,NA,,0,NA,No,NA,,0,NA,No,NA,,0,NA,NA,effect_size_sign_accounted; processed_data_shared; data_shared
MA_071,Yes,Yes,https://datadryad.org/dataset/doi:10.5061/dryad.8kt4675,https://datadryad.org/dataset/doi:10.5061/dryad.8kt4675,1,https://datadryad.org/dataset/doi:10.5061/dryad.8kt4675,Yes,https://datadryad.org/dataset/doi:10.5061/dryad.8kt4675,https://datadryad.org/dataset/doi:10.5061/dryad.8kt4675,1,https://datadryad.org/dataset/doi:10.5061/dryad.8kt4675,No,NA,,0,NA,NA,effect_size_sign_accounted
MA_071,Yes,Yes,https://doi.org/10.5061/dryad.8kt4675; https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2656.12972,https://doi.org/10.5061/dryad.8kt4675; https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2656.12972,2,https://doi.org/10.5061/dryad.8kt4675,Yes,https://doi.org/10.5061/dryad.8kt4675; https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2656.12972,https://doi.org/10.5061/dryad.8kt4675; https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2656.12972,2,https://doi.org/10.5061/dryad.8kt4675,No,NA,,0,NA,"Larger dataset including input data for diet breadth on Dryad, a more limited dataset with calculated response variable only with paper as an appendix. The ""raw data"" already appears to have undergone some processing/standardisation, but includes extracted variables and sample sizes linked to references.",effect_size_sign_accounted
MA_072,Yes,Yes,https://datadryad.org/dataset/doi:10.5061/dryad.6rn80,https://datadryad.org/dataset/doi:10.5061/dryad.6rn80,1,https://datadryad.org/dataset/doi:10.5061/dryad.6rn80,No,NA,,0,NA,No,NA,,0,NA,NA,effect_size_sign_accounted
MA_072,Yes,Yes,http://dx.doi.org/10.5061/dryad.6rn80,http://dx.doi.org/10.5061/dryad.6rn80,1,https://http://dx.doi.org/10.5061/dryad.6rn80,No,NA,,0,NA,No,NA,,0,NA,NA,effect_size_sign_accounted
MA_073,No,No,NA,,0,NA,No,NA,,0,NA,No,NA,,0,NA,NA,
MA_073,No,No,NA,,0,NA,No,NA,,0,NA,No,NA,,0,NA,nothing about that to be found,
