"MA_ID","title","number_of_assessments","participants_names","forms_versions","effect_size_sign_accounted_revised","effect_size_used","effect_size_category","effect_size_eqn_quote","inferential_statistics_revised","processed_data_shared_participants_conc","processed_data_shared_AST","processed_data_shared_SD","processed_data_shared_final","raw_data_shared_participants_conc","raw_data_shared_AST","raw_data_shared_SD","raw_data_shared_final","data_shared_AST","data_shared_SD","data_shared_final","metadata","code_shared_participants_conc","code_shared_AST","code_shared_SD","code_shared_final","data_and_code_sharing_comments_participants_conc","data_and_code_sharing_comments_AST","software","software_used","software_used_category","software_quote","RoB_assessment_revised_merged_final","RoB_assessment_alternative_revised_merged_final","guidelines","guidelines_quote","guidelines_name","guidelines_name_category","registration","registration_quote","meta_analytic_model","meta_analytic_model_quote","sampling_variance","sampling_variance_quote","data_and_code","data_code_and_metadata"
"MA_074","are long-term widespread avian body size changes related to food availability? a test using contemporaneous changes in carotenoid-based color",1,"Alfredo Sanchez-Tojar",NA,NA,"slopes","Others","In the first, we fitted two intercept-only models with the species-specific slope estimates from the GLMMs for temporal changes in wing length and color, respectively, as dependent variable (Nakagawa & Cuthill, 2007). In the second, we fitted a model with temporal change in wing length as dependent variable and temporal change in color as independent variable. Given that all temporal effect sizes within each trait have the same units, they do not need to be standardized and their standard errors were used to compute the measurement variance (Koricheva, Gurevitch, & Mengersen, 2013). In all analyses, we controlled for phylogenetic relatedness, including it as a random effect.",NA,NA,NA,NA,"No",NA,NA,NA,"No",NA,NA,"No",NA,NA,NA,NA,"No",NA,"wing length means and SE provide in Table S1 but nothing else","Yes","R","R","All statistical analyses were conducted in r version 2.15.2 (R Core Team, 2012). Linear mixed effect models and Bayesian phylogenetic mixed models were conducted using the packages “nlme” (Pinheiro, Bates, DebRoy, & Sarkar, 2011) and “MCMCglmm” (Hadfield, 2010) respectively. GAMMs were carried out using the packages “mgcv” (Wood, 2006). Phylogenetic tree and forest plots were created with the packages “ape” (Paradis, Claude, & Strimmer, 2004) and “metafor” (Viechtbauer, 2010), respectively.","No","None","No",NA,NA,NA,"No",NA,"Bayesian phylogenetic meta-analysis","We used Bayesian phylogenetic mixed models (Hadfield & Nakagawa, 2010) within a meta-analytic framework (Nakagawa & Santos, 2012)","Yes","Given that all temporal effect sizes within each trait have the same units, they do not need to be standardized and their standard errors were used to compute the measurement variance (Koricheva, Gurevitch, & Mengersen, 2013). [...] We incorporated sampling error variances (the squared SE of each temporal effect estimate) using the “mev” argument in MCMCglmm (Hadfield & Nakagawa, 2010).","No","No"
"MA_075","climatic role of terrestrial ecosystem under elevated co2: a bottom-up greenhouse gases budget",1,"Alfredo Sanchez-Tojar",NA,NA,"natural log-transformed response ratio","RR","As far as I can see, effect size sign should be NA: We also included data from these studies on plant C pool, soil moisture, and soil C and N fractions. In addition, the use absolute values for some variables, whether that is correct or not.",NA,NA,NA,NA,"No",NA,NA,NA,"No",NA,NA,"No",NA,NA,NA,NA,"No",NA,"the authors indicate that they provide the dataset in the supplementary materials, but no dataset can be found","Yes","R","R","We conducted a weighted meta-analysis using the metric of lnR, where the mean response ratio (lnR++) is calculated from individual lnR of each paired comparison between control and treatment groups with the weight of each lnR using a categorical random effect model. Allowing for the intrinsic relevance across all the variables under elevated CO2, the overall mean effect size and 95% confidential interval (CI) of each grouping category generated by bootstrapping (9999 iterations) were calculated with the mixed-effect model by R (R Development Core Team, 2016). Treatment effects were considered significant if the 95% CI did not overlap with the line lnR = 0. In addition to the meta-analysis procedure, One-way anova was performed to test the differences in all target variables between ambient and elevated CO2 treatments. Linear regressions were used to examine the correlations of lnR of biogenic GHG fluxes as well as soil C and N parameters with the potential driving factors, including plant C components, soil initial C and N levels, soil C/N ratio and the intensity of CO2 enrichment. All statistical analyses were carried out using JMP version 7.0 (SAS Institute, USA, 2007).","No","Experimental_design_Method_comparison","No",NA,NA,NA,"No",NA,"Random effects model","We conducted a weighted meta-analysis using the metric of lnR, where the mean response ratio (lnR++) is calculated from individual lnR of each paired comparison between control and treatment groups with the weight of each lnR using a categorical random effect model.","Yes","We conducted a weighted meta-analysis using the metric of lnR, where the mean response ratio (lnR++) is calculated from individual lnR of each paired comparison between control and treatment groups with the weight of each lnR using a categorical random effect model.","No","No"
"MA_076","meta-analyzing the likely cross-species responses to climate change",1,"Alfredo Sanchez-Tojar",NA,NA,"range expansion","Others","range expansion calculated directly",NA,NA,NA,NA,"Yes",NA,NA,NA,"Yes",NA,NA,"Yes","Yes",NA,NA,NA,"Yes",NA,"the authors provide data and code, though some data seem missing. Since this is not about completeness, I categorise it as Yes for all data and code variables","Yes","R","R","For matching, we used the function match.phylo.comm of “picante” (Kembel et al., 2010) and the function “consensus.edges” of “phytools” R package (Revell, 2012) to build the consensus phylogeny.","No","None","No",NA,NA,NA,"No",NA,"Multilevel phylogenetic meta-analysis","Our random-effects model consisted of a multilevel model with bird phylogeny as a random effect (Lajeunesse, 2009; Nakagawa & Santos, 2012) and was estimated using the “rma.mv” function in the “metafor” R package (Viechtbauer, 2010).","Yes","Third, the weighted mean range shift (M), summarizing the results across the 1,205 bird species, was estimated assuming a random-effects model, where the weight (Wi) assigned to each species i was given by the reciprocal of the Vi plus the between-species variance (T2).","Yes","Yes"
"MA_077","miniaturization of biologgers is not alleviating the 5% rule",1,"Alfredo Sanchez-Tojar",NA,NA,"mass and relative mass","Others","Data for device mass, animal mass and relative device mass (= device mass divided by animal mass) were analysed",NA,NA,NA,NA,"No",NA,NA,NA,"Yes",NA,NA,"Yes","No",NA,NA,NA,"No",NA,"data provided as a pdf in Dryad","Yes","R","R","Species names were checked against the taxonomic reference associated with the online tree of life (Hinchliff et al., 2015) using the rotl package (Michonneau, Brown, & Winter, 2016) of r (R Core Team 2016). [...] Data for device mass, animal mass and relative device mass (= device mass divided by animal mass) were analysed using quantile regression implemented in the quantreg package (Koenker, 2016); data for device mass and animal mass were log transformed for analysis. Quantile regression fits were computed using the Barrodale and Roberts algorithm (Koenker & d’Orey, 1987, 1994).","No","None","No",NA,NA,NA,"No",NA,"Quantile regression","Data for device mass, animal mass and relative device mass (= device mass divided by animal mass) were analysed using quantile regression implemented in the quantreg package (Koenker, 2016); data for device mass and animal mass were log transformed for analysis. Quantile regression fits were computed using the Barrodale and Roberts algorithm (Koenker & d’Orey, 1987, 1994).","No",NA,"No","No"
"MA_078","combination of 247 genome-wide association studies reveals high cancer risk as a result of evolutionary adaptation",1,"Alfredo Sanchez-Tojar",NA,NA,"risk ratio","OR","Every excel sheet of supplementary table S2, Supplementary Material online, contains the CAG list, created by combining all GWAS studies, the list of genes under selection of each study or population and the ENSG code of each gene under selection. [...] enrichment of genes under selection with cancer associated genes. [...] They used Risk Ratios, which I am labelling as OR (Odds Ratio) here for the sake of simplicity",NA,NA,NA,NA,"Yes",NA,NA,NA,"Yes",NA,NA,"Yes","No",NA,NA,NA,"No",NA,"data provided in the supplementary material and for all I can see, it is complex and I am assuming it is both processed and raw data","Yes","STATA","Others","Meta-analysis was performed through the DerSimonian and Laird random effects method in STATAv.13, using the metan algorithm according to Harris et al. (2008).","No","None","No",NA,NA,NA,"No",NA,"Random effects model","Meta-analysis was performed through the DerSimonian and Laird random effects method in STATAv.13, using the metan algorithm according to Harris et al. (2008).","Yes","Figure 3 shows the forest plot with weights","No","No"
"MA_079","biodiversity effects on ecosystem functioning respond unimodally to environmental stress",1,"Alfredo Sanchez-Tojar",NA,NA,"normalised slopes","Others","experiments that manipulated species richness under at least three environmental conditions, and reported the species monoculture functions for all environmental conditions were considered, as this is a prerequisite to calculate the intensity of environmental stress and discriminate between monotonic and unimodal changes in BEF relationships [...] Literature and simulated data were normalised prior to analysis. The severity of the environmental stress was calculated according to eqn 5, as the ratio between the average observed monoculture under stress and unstressed conditions for all species. [...] Since the units in which aggregated ecosystem functions are measured varied among studies, slopes were normalised by dividing the linear regression coefficient of the BEF relationship by the average monoculture function under unstressed conditions. Thus, normalised slopes all had species?1 as a unit.",NA,NA,NA,NA,"No",NA,NA,NA,"No",NA,NA,"No",NA,NA,NA,NA,"No",NA,"despite writing ""References for all studies used in the meta-analyses with detailed descriptions of the source of the data are given in Table S1"", no actual data is provided","No",NA,NA,"we regressed the slope under unstressed conditions against the stress intensity at which the BEF slope peaked.","No","None","No",NA,NA,NA,"No",NA,"Linear regression","we regressed the slope under unstressed conditions against the stress intensity at which the BEF slope peaked. The dataset ID (i.e. simulated scenario 1, 2, 3, and 4 or empirical data) was included as an additional factorial fixed effect in the linear regression model to be able to compare among simulated scenarios and between simulations and empirical data. Residual diagnostics were assessed for deviations from normality and homoscedasticity (Fig. S5).","No",NA,"No","No"
"MA_080","genomic and transcriptomic insights into the ecology and metabolism of benthic archaeal cosmopolitan, thermoprofundales (mbg-d archaea)",1,"Alfredo Sanchez-Tojar",NA,NA,"SAD;LoD;co-occurence","Others","Here we conducted a comprehensive meta-analysis based on the available 16S rRNA gene sequences of MBG-D archaea to investigate their global environmental distribution, the environmental associations of different subgroups, and the potential synergistic relationship with other archaeal lineages. [...] Species abundance distribution (SAD) and index of dispersion (IoD) plots were calculated to reflect the occurrence and abundance pattern and the dispersion pattern of archaeal lineages,",NA,NA,NA,NA,"Yes",NA,NA,NA,"Yes",NA,NA,"Yes","No",NA,NA,NA,"No",NA,"some script provided in the supplementary document, but not for the meta-analysis. They shared 5 datasets, which I can be certain if they are all the data but I am assuming it is both processed and raw data","Yes","R","R","The network construction, property characterization and visualization, and random network stimulation were conducted by R packages (vegan and igraph) and software Gephi [29,30,31].","No","None","No",NA,NA,NA,"No",NA,"Linear regression; co-occurrence network","Co-occurrence network analysis was performed according to the previous methods [...] Species abundance distribution (SAD) and index of dispersion (IoD) plots were calculated to reflect the occurrence and abundance pattern and the dispersion pattern of archaeal lineages [...] A linear regression with significant support indicates that archaeal lineages of widespread distribution across studies have higher abundance (frequency of occurrence in sequence collection) than those of limited distribution in environments, similar to the previous report [47].","No",NA,"No","No"
"MA_081","a review of biodiversity outcomes from possum-focused pest control in new zealand",1,"Alfredo Sanchez-Tojar",NA,"Yes","log response ratio","RR","This effect size, known as the log response ratio, provides a quantitative measure of the effect of treatment on a population relative to the effect of non-treatment. [...] For consistency, response measures were converted to equivalent parameters where required, such that ln(XT/XC)?>?0 always described a positive response. [...] Studies were classed as having a CI (control–impact), BA (before–after) or BACI (before–after–control–impact) experimental design.",NA,NA,NA,NA,"No",NA,NA,NA,"No",NA,NA,"No",NA,NA,NA,NA,"No",NA,NA,"No",NA,NA,"I cannot figure out what software they used or what they ran","No","Experimental_design_Method_comparison","No",NA,NA,NA,"No",NA,"unclear","To quantitatively assess the effects of pest control on native biota, we conducted a meta-analysis (Hedges et al. 1999).","Yes","Not totally clear, but I am saying yes based on ""Many of our 47 studies consisted of only a single treatment area, yet replicated studies are highly preferable as they allow a within-study variance to be calculated alongside the mean response value [...] Relevant data, including mean treatment values and mean non-treatment values, sample sizes, standard deviations, standard errors and confidence limits were extracted from figures, tables and the main text of each study.""","No","No"
